,token,frequency,z-score,freq_ratio
601,incriminate,1134,0.5005767636197965,0.00035666893857022304
179,always,2626,0.49844855776217056,0.0008259370658601461
85,retweet,2177,0.49844855776217056,0.000684716295650243
685,third,492,0.49315908157990557,0.00015474525377120787
775,ahead,795,0.49315908157990557,0.0002500456844473786
1027,wissemannis,13,0.49315908157990557,4.088797355743298e-06
863,lockdown,671,0.49315908157990557,0.00021104484813105792
441,easily,883,0.49315908157990557,0.00027772369731702553
694,term,1255,0.49315908157990557,0.0003947262062659876
435,war,1481,0.49315908157990557,0.0004658083756812172
596,prior,555,0.49315908157990557,0.00017456019480288694
724,california,1237,0.49315908157990557,0.0003890647945426507
502,representative,1148,0.49315908157990557,0.0003610722587994851
987,trainor,437,0.49315908157990557,0.00013744649572767855
645,november,1007,0.49315908157990557,0.0003167245336333462
958,path,504,0.49315908157990557,0.00015851952825343246
463,single,1868,0.49315908157990557,0.00058752872773296
1031,unparallel,27,0.49315908157990557,8.49211758500531e-06
129,ballots,318,0.49315908157990557,0.00010001827377895143
63,intelligence,886,0.49315908157990557,0.00027866726593758166
119,pretty,992,0.49315908157990557,0.0003120066905305655
440,yet,3538,0.4917964721643268,0.0011127819265092144
923,winner,887,0.4851472771428663,0.0002789817888111004
985,track,436,0.4851472771428663,0.00013713197285415983
523,john,966,0.4851472771428663,0.0003038290958190789
780,primary,615,0.4851472771428663,0.00019343156721400985
671,main,738,0.4851472771428663,0.00023211788065681183
670,majority,1125,0.4851472771428663,0.0003538382327085546
914,petition,557,0.4851472771428663,0.00017518924054992437
541,sec,449,0.4851472771428663,0.00014122077020990313
396,ago,742,0.4851472771428663,0.0002333759721508867
629,life,1172,0.4851472771428663,0.00036862080776393425
824,virus,1186,0.4851472771428663,0.00037302412799319624
937,repub,194,0.4851472771428663,6.101743746263075e-05
877,defeat,501,0.4851472771428663,0.00015757595963287633
474,yup,298,0.4851472771428663,9.372781630857714e-05
173,actual,1321,0.4851472771428663,0.0004154847159182228
895,agency,576,0.4851472771428663,0.00018116517514677995
264,envelope,600,0.4851472771428663,0.00018871372411122912
594,guilty,1070,0.4851472771428663,0.0003365394746650253
213,suitcase,377,0.4851472771428663,0.00011857512331655564
935,ton,518,0.4764378273382932,0.00016292284848269447
777,behind,1843,0.4764378273382932,0.0005796656558949921
735,bust,439,0.4764378273382932,0.00013807554147471599
950,own,672,0.4764378273382932,0.0002113593710045766
704,dc,712,0.4764378273382932,0.00022394028594532523
758,percent,613,0.4764378273382932,0.00019280252146697241
702,vast,207,0.4764378273382932,6.510623481837405e-05
699,backdate,384,0.4764378273382932,0.00012077678343118665
361,begin,1364,0.4764378273382932,0.00042900919947952757
797,middle,736,0.4764378273382932,0.0002314888349097744
603,fed,415,0.4764378273382932,0.00013052699251026682
825,hillary,1207,0.4764378273382932,0.0003796291083370893
992,deepstate,176,0.4764378273382932,5.535602573929388e-05
997,interrogate,328,0.4764378273382932,0.00010316350251413859
534,ppl,980,0.4764378273382932,0.00030823241604834093
215,dismiss,931,0.4764378273382932,0.00029282079524592386
1013,bankrupt,257,0.4764378273382932,8.083237849430982e-05
767,mention,824,0.46689755233855856,0.00025916684777942134
892,statistical,809,0.46689755233855856,0.0002544490046766406
217,nobody,728,0.46689755233855856,0.00022897265192162468
884,mitch,388,0.46689755233855856,0.0001220348749252615
35,driver,485,0.46689755233855856,0.00015254359365657688
902,upon,596,0.46689755233855856,0.00018745563261715427
925,engage,539,0.46689755233855856,0.00016952782882658749
182,russell,238,0.46689755233855856,7.485644389745422e-05
466,buy,1100,0.46689755233855856,0.00034597516087058676
427,highly,444,0.46689755233855856,0.00013964815584230955
836,picture,536,0.46689755233855856,0.00016858426020603136
947,burn,580,0.46689755233855856,0.00018242326664085482
981,unlawful,222,0.46689755233855856,6.982407792115477e-05
683,fall,939,0.46689755233855856,0.0002953369782340736
476,gov,559,0.46689755233855856,0.0001758182862969618
611,couple,424,0.46689755233855856,0.00013335769837193525
1016,joint,347,0.46689755233855856,0.00010913943711099418
556,scientist,432,0.46689755233855856,0.00013587388136008496
513,turnout,889,0.46689755233855856,0.00027961083455813783
962,crowd,368,0.46689755233855856,0.0001157444174548872
569,social,3219,0.45472903059761377,0.0010124491298567442
322,sidney,6377,0.45352095793759145,0.002005712364428847
358,another,4120,0.45344828778642055,0.0012958342388971066
524,william,569,0.44870314334317185,0.00017896351503214896
374,accuse,855,0.44870314334317185,0.0002689170568585015
644,second,1189,0.44870314334317185,0.00037396769661375237
208,amount,1448,0.44870314334317185,0.0004554291208550996
906,flood,741,0.44870314334317185,0.00023306144927736798
212,busy,622,0.44870314334317185,0.00019563322732864087
874,represent,954,0.44870314334317185,0.00030005482133685433
678,overthrow,801,0.44870314334317185,0.00025193282168849086
960,ten,570,0.44870314334317185,0.00017927803790566767
472,threat,905,0.44870314334317185,0.00028464320053443726
783,business,926,0.44870314334317185,0.0002912481808783303
770,covid,2123,0.44870314334317185,0.0006677320604802324
584,wake,1172,0.4410066883549854,0.00036862080776393425
172,face,1723,0.4410066883549854,0.0005419229110727463
462,republican,6514,0.4317918489172503,0.0020488019981009108
38,dominion,13212,0.4309719940768903,0.004155476204929265
41,prove,8483,0.42746817632807,0.002668097536059261
633,kemp,1670,0.4072977880819878,0.0005252531987762544
546,az,1368,0.4072977880819878,0.00043026729097360244
433,expert,1750,0.4072977880819878,0.0005504150286577516
612,obama,2480,0.4072977880819878,0.0007800167263264137
76,lin,2490,0.3890997344423748,0.0007831619550616009
618,may,3231,0.3890997344423748,0.001016223404338969
773,victory,1695,0.38687933396726676,0.0005331162706142223
693,deadline,1129,0.38687933396726676,0.0003550963242026295
793,candidate,2030,0.38687933396726676,0.0006384814332429919
267,become,1774,0.38076340144477205,0.0005579635776222008
766,agent,1275,0.38076340144477205,0.0004010166637363619
869,seriously,387,0.38076340144477205,0.00012172035205174279
1004,willingly,419,0.38076340144477205,0.00013178508400434166
856,favor,973,0.38076340144477205,0.0003060307559337099
423,tucker,1081,0.38076340144477205,0.00033999922627373115
696,decide,1346,0.38076340144477205,0.00042334778775619065
928,march,620,0.38076340144477205,0.00019500418158160344
504,screw,564,0.38076340144477205,0.00017739090066455537
893,position,659,0.38076340144477205,0.00020727057364883334
412,major,1861,0.3599379793816144,0.000585327067618329
744,confirm,1743,0.3599379793816144,0.0005482133685431206
131,reveal,1780,0.3599379793816144,0.000559850714863313
834,texas,2994,0.33986385183364315,0.0009416814833150334
536,point,4171,0.33986385183364315,0.0013118749054465612
798,public,1913,0.33068880349389645,0.0006016822570413022
426,explain,1693,0.33068880349389645,0.0005324872248671849
57,use,14576,0.3289260064345103,0.004584485404408793
84,time,12524,0.3176569706119463,0.003939084467948389
243,last,3640,0.31130519169731996,0.0011448632596081233
549,hell,2807,0.31130519169731996,0.0008828657059670336
323,powell,5062,0.30857131510675806,0.0015921147857517364
757,wow,855,0.30807706141393343,0.0002689170568585015
788,session,601,0.30807706141393343,0.00018902824698474783
848,silence,1114,0.30807706141393343,0.00035037848109984875
395,month,1080,0.30807706141393343,0.0003396847034002124
657,organization,1894,0.30807706141393343,0.0005957063224444466
697,current,925,0.30807706141393343,0.00029093365800481155
833,flynn,676,0.30807706141393343,0.00021261746249865148
980,effectively,1149,0.30807706141393343,0.0003613867816730038
879,message,1021,0.30807706141393343,0.0003211278538626082
940,counsel,622,0.30807706141393343,0.00019563322732864087
811,quick,602,0.30807706141393343,0.00018934276985826655
931,virginia,748,0.30807706141393343,0.00023526310939199897
572,dozen,370,0.30807706141393343,0.00011637346320192463
889,date,749,0.30807706141393343,0.0002355776322655177
455,stunning,182,0.30807706141393343,5.724316298040617e-05
615,wait,2626,0.3031374229018066,0.0008259370658601461
996,fec,1007,0.27227509279470913,0.0003167245336333462
684,smartmatic,1342,0.27227509279470913,0.00042208969626211584
452,politician,1653,0.27227509279470913,0.0005199063099264363
390,pray,2145,0.27227509279470913,0.0006746515636976441
380,states,2761,0.2613306843201129,0.0008683976537851727
493,share,2289,0.2613306843201129,0.0007199428574843391
344,away,3601,0.25879529789399214,0.0011325968675408935
18,barr,6045,0.24802100472616317,0.0019012907704206335
239,keep,6929,0.24659066143087438,0.0021793289906111776
12,news,8962,0.24018457778943084,0.002818753992474726
92,judge,7002,0.24018457778943084,0.002202289160378044
711,especially,1026,0.22994568933054613,0.00032270046823020183
939,machines,1119,0.22994568933054613,0.0003519510954674423
484,deal,1343,0.22994568933054613,0.00042240421913563453
362,expect,1337,0.22994568933054613,0.0004205170818945222
400,immediately,564,0.22994568933054613,0.00017739090066455537
977,arrive,513,0.22994568933054613,0.00016135023411510091
661,mask,1166,0.22994568933054613,0.00036673367052282195
356,account,976,0.22994568933054613,0.00030697432455426606
866,et,524,0.22994568933054613,0.00016480998572380678
1025,gettysburg,333,0.22994568933054613,0.00010473611688173217
115,testify,2100,0.21349482771497852,0.000660498034389302
768,pass,1477,0.21145918257979862,0.0004645502841871424
